,who,text
0,0,"South Korea pardons ex-president Park Geun-hye 

https://t.co/2oF18HKyTR"
1,0,"UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine

https://t.co/ER7vvOIAG0"
2,0,"One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues https://t.co/xPs3Z3vVFn"
3,0,"UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia's invasion of Ukraine

https://t.co/6kNfucEq6y"
4,0,"Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion

https://t.co/pZ7uOWtOMU https://t.co/ihqQPcbki5"
5,0,"Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK

https://t.co/bHiqmlYmr2"
6,Russia,Russia says some of its troops are being pulled out from Ukraine border https://t.co/Sl4Lyn9Qwg
7,0,UK economy grew by 7.5 Percent last year despite Omicron causing slowdown https://t.co/Tn9PYhzATT
8,0,"Indian singing icon Lata Mangeshkar, the “Nightingale of Bollywood”, dies at 92 https://t.co/ZsLtjwWUH1"
9,0,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik https://t.co/kuw98xKyTV
10,0,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms

https://t.co/JlutoZcMTG"
11,0,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon https://t.co/DeAXmp3uns"
12,UK,"UK cost of living rises by 5.4 Percent in the 12 months to December, its fastest pace for 30 years https://t.co/JsRkkCnmED"
13,0,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific https://t.co/rKkTYEmP2W
14,Novak Djokovic ’s appeal over his deportation from Australia,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday https://t.co/GyWv5UxzK4
15,0,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says

https://t.co/gEWRtNEPvO"
16,0,"North Korea launches 'unidentified projectile' into sea

https://t.co/yNtpJxB36l"
17,0,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an https://t.co/RaSX5xsD8E"
18,0,UK Chancellor Rishi Sunak announces £1bn fund for hospitality firms hit by Covid https://t.co/O3bXvTkzJJ
19,0,"UK Prime Minister Boris Johnson “reserves possibility” of further Covid measures in England, but says there are “still some things we need to be clearer about” 

https://t.co/ddWfD2tfsM"
20,0,Tennis player Emma Raducanu named BBC Sports Personality of the Year 2021 https://t.co/jowZ7Zv16y
21,0,"UK government says all 11 countries will be removed from its travel red list from 4am on Wednesday

https://t.co/MbOc6rzJVo"
22,0,"Travellers heading to UK will now have to have Covid test before their departure in effort to limit spread of virus, government says https://t.co/suZ90Ue2ci"
23,0,Giant ash cloud sends people sprinting for cover after volcano erupts in Indonesia https://t.co/K5geCqdncL
24,0,Women's Tennis Association announces immediate suspension of all tournaments in China over concern for Chinese tennis player Peng Shuai https://t.co/oXwoLjiAfj
25,0,Six cases of Omicron coronavirus variant identified in Scotland https://t.co/JQ1lteU48Z
26,0,"Anyone entering UK must take a PCR test, face mask rules are to be tightened and booster jabs policy overhauled, Prime Minister Boris Johnson announces 
https://t.co/jEVQjN6dK1"
27,0,"All over-40s should be offered Covid vaccine booster jabs, UK government vaccine advisors say https://t.co/ps4BRBblBx"
28,0,"Prince Charles lays a wreath on behalf of the Queen at the Cenotaph in London as part of Remembrance Sunday commemorations 

https://t.co/XuejYXPoaP https://t.co/gvWfdu4qf1"
29,The Queen,"The Queen will not attend the Remembrance Sunday service at the Cenotaph in London because she has sprained her back

https://t.co/QwDciTp2JL"
30,0,Britney Spears released from conservatorship that controlled parts of her life after 13 years https://t.co/IZ9lmhPWHG
31,0,"World on course to heat by 2.4C despite pledges made at COP26 climate summit, analysis suggests

#COP26BBC https://t.co/Yd1hmFjZHi"
32,0,"Frontline NHS staff in England will have to be fully vaccinated against Covid, the BBC has been told, with workers given until spring to have both jabs https://t.co/cx7PyTH1gO"
33,hold,"Conservative Owen Paterson's suspension put on hold as UK MPs vote to review the way their behaviour is policed

https://t.co/KeYdMJ4aEp"
34,Indian Prime Minister Narendra Modi,"Indian Prime Minister Narendra Modi pledges his country will target net zero carbon emissions by 2070, two decades later than COP26 climate conference target

#COP26BBC https://t.co/fLeTWI1zDg"
35,0,"The Queen advised by doctors to rest for two further weeks and will not undertake official visits during this time, Buckingham Palace says https://t.co/7CSuQuf3NE"
36,0,"UK economy to return to pre-Covid levels by end of 2021, Chancellor Rishi Sunak announces in Budget speech https://t.co/d3IJdhPEkQ"
37,0,"The Queen will not go to next week's COP26 climate change summit in Glasgow to meet world leaders, after being advised to rest, Buckingham Palace says

https://t.co/TPEaXvttLV"
38,0,"Former Rangers, Everton and Scotland manager Walter Smith dies at age 73 https://t.co/l5LJS8TXkU"
39,0,"UK National Living Wage set to be raised to £9.50 an hour, from £8.91 an hour, in Wednesday's budget https://t.co/p6tOyZ80WH"
40,US,US announces it will reopen its borders to fully vaccinated travellers from 8 November https://t.co/a7IJ3ej6WG
41,Dubai ruler Sheikh Mohammed Al - Maktoum,"Dubai ruler Sheikh Mohammed Al-Maktoum ordered the hacking of mobile phones during his divorce custody case with Princess Haya, UK court says 

https://t.co/VmDHDbilrg"
42,Japan ’s Princess Mako,"After years of controversy, Japan’s Princess Mako will marry her former classmate, a commoner, this month and give up her royal status

https://t.co/2Um7skGBZq"
43,0,"5,000 overseas lorry drivers and 5,500 poultry workers will be eligible for three-month UK visas until Christmas Eve https://t.co/g9bCbEtucP"
44,0,"Two Canadians detained in China since 2018 are flying home, Trudeau says, after a US deal freed a Huawei executive https://t.co/pHx58NsG7e"
45,North Korea,"North Korea fires two ballistic missiles, South Korea says

https://t.co/fqsQLTtYul"
46,0,"Taliban announce government for Afghanistan, led by one of their founders, with an FBI-wanted militant as interior
minister https://t.co/njuZL3LRK3"
47,0,"Russian state-backed news channel RT's licence to broadcast in UK revoked ""with immediate effect"", regulator Ofcom says
 
https://t.co/fH6nO11ZUU"
48,0,"Legendary Australian leg-spinner Shane Warne, one of the greatest cricketers of all time, dies of suspected heart attack aged 52 https://t.co/EBjLRYBW8f"
49,0,"Vladimir Putin insists Ukraine invasion ""going to plan"" as humanitarian crisis grows in cities under Russian bombardment 

https://t.co/kS77xLMXDB"
50,0,"Russia bombs theatre in Ukrainian city of Mariupol where hundreds of civilians were sheltering, deputy mayor says https://t.co/KPOwGIUDBQ"
51,0,"London's Metropolitan Police breached the rights of organisers of planned vigil for Sarah Everard, judges rule

https://t.co/VOudSjQA2e"
52,0,"Will Smith was asked to leave Oscars ceremony after hitting Chris Rock but refused, Academy says https://t.co/WqW09kNXIc"
53,0,"""Nothing very promising"" in peace talks with Ukraine so far, Russian President Putin's spokesman says

Follow live updates here https://t.co/PXAC9A5ZB0"
54,0,“My behaviour was unacceptable and inexcusable” - Will Smith apologises after slapping Chris Rock at the Oscars https://t.co/GCUFe3DPrJ
55,The Oscars,"The Oscars film academy ""condemns"" Will Smith's slapping of Chris Rock and says it has launched formal review of incident https://t.co/cHWY1pRs9W"
56,0,"Russian billionaire Roman Abramovich suffered symptoms of suspected poisoning at peace talks in Kyiv earlier this month, spokesperson says https://t.co/SBs3nSLJVy"
